Protein,CasID,Type Protein,Recommended/required wiki entry revisions/updates,Contributor(s) ,Looking for more contributors?,Point person (if more than 1 contributor),Curator Status,Reviewer Status,Reviewer,Curation_Link
Cas12a,3.4.3,AsCas12a,Missing critical information/updates: Experimental_Details_Table updates (Plants especially); gene editing examples updates (plants need more updates); ortholog info incomplete/need further validation (need AA seqs in scratch to check all these); PAM preferences citation in Guidetool_DEV incomplete,"Anna Vardapetyan, Vienna Thomas",,,,"[07/02/24] Review completed, still needs edits to be finished",Brittney Thornton,https://docs.google.com/spreadsheets/d/1NekIvAPDyc2vPDJbbtPjDbAwCwHWyOYDPCarxupjUiQ/edit?usp=drive_link
Cas12a2,8.6.3,SuCas12a2,Minor updates: see comments,Ben Adler,,,,[07/03/24] Completed Entry,Brittney Thornton,https://docs.google.com/spreadsheets/d/1AoRWy8CoCfzx-8-DJYmCK1tgskOSkkB0lrxtm24RkhY/edit?usp=drive_link
Cas12b,8.4.2,AacCas12b,"Tools additions, references fixes",Jorge Rodriguez,,,,[07/19/24] Completed Entry; ready for upload,Brittney Thornton,https://docs.google.com/spreadsheets/d/1tWUO148dIVdG68SHWTBBJ4YF41ec7ulyg4oaRrgougQ/edit?usp=drive_link
Cas12c,5.4.2,UnCas12c2,,Ben Adler,,,,[07/03/24] Completed Entry,Brittney Thornton,https://docs.google.com/spreadsheets/d/1UQsWcGHM5D8TYXCzQRNgQhxDQXsV1m58VLKouOT29X8/edit?usp=drive_link
Cas12c1,3.4.2,Cas12c1,,"Julia Tartaglia, Cynthia Terrace",,,,[07/04/24] Edits still required,Brittney Thornton,https://docs.google.com/spreadsheets/d/1UPflPNs4mN2h8BHA-Yzjf5-Alo4eM4oBkOtwPyHppY0/edit?usp=drive_link
Cas12d,3.4.2,Cas12d,,"Rachel Weissman, Brenda Duong, Ryan Tran ",,Ryan Tran,"[05/19/2024] Completed, ready for review",[05/29/2024] Completed,Rachel Weissman,https://docs.google.com/spreadsheets/d/1R6mkop2mbtSnD1NOfDZLXelbfPR3FH7FVOSSI_oPBO0/edit?usp=drive_link
Cas12e,3.4.1,PlmCas12e,,Connor Tsuchida,,,,"[06/02/24] Review completed, some comments",Brittney Thornton,https://docs.google.com/spreadsheets/d/1BvSRpEHEPKk91pbP-Q2A5iyeu7wvmKbkkHhIGuUXc7c/edit?usp=drive_link
Cas12f,3.4.2,Un1Cas12f1,,"Rachel Weissman, Virginijus Siksnys, Tautvydas Karvelis, Giedrius Gasiunas",,,,[05/29/2024] Completed,Rachel Weissman,https://docs.google.com/spreadsheets/d/1t_Z5chbl8wJL4tkGmLTJNAlD2gQ1M_wZqEwzA1OBT2k/edit?usp=drive_link
Cas12g,7.6.2,Cas12g,Why is this entry called LbCas12g?,Evan DeTurk,,,[5/30/24] Updated post-review,[07/04/24] Completed Entry,Brittney Thornton,https://docs.google.com/spreadsheets/d/1F0xDpPcXLSntsjjfJyrLKTv_iLiSDKHPLnCDaGGP20o/edit?usp=drive_link
Cas12h,3.4.3,Cas12h1,,"Brenda Duong, Ryan Tran, Jorge Rodriguez",,Brenda Duong,"[05/19/2024] Completed, ready for review",[05/29/2024] Completed,Rachel Weissman,https://docs.google.com/spreadsheets/d/1pHb3s29F06wwxJ3J6fIacQLWAvGGrPc4e4r_8OgCJdU/edit?usp=drive_link
Cas12i,4.4.3,Cas12i1,,"Brittney Thornton, Jorge Rodriguez",,Brittney Thornton,[05/27/2024] Completed,,Brittney Thornton,https://docs.google.com/spreadsheets/d/19LziQKKlESQL9DCH41QH2mvtUrWiACqd3xeDHJUnv3A/edit?usp=drive_link
